,sensor-id,sensor-name,latitude,longitude,max-level
0,EWS101,Upp East Coast Rd (Riviera Residences),1.31557,103.943057,1.13
1,EWS249,TPE Slip Rd (Punggol Crest),1.3994804,103.899298,0.81
2,WWS162,CCK North OD (Blk 526),1.3911305,103.7420726,3.35
3,CWS186,Eng Neo Ave OD (D/S culvert),1.33257,103.798134,2.51
4,CWS191,Kampong Ampat/ Macpherson Rd,1.332426,103.882585,1.53
5,CWS192,Happy Ave OD (Jln Gembira),1.3323852,103.882041,2.2
6,CWS193,Harvey Rd/ Macpherson Rd,1.333006,103.884494,0.65
7,CWS194,Geylang Rd/ Lor 1 Geylang,1.310597,103.872737,0.72
8,CWS198,Meyer Rd OD (Meyer Mansion),1.296131,103.890746,2.52
9,CWS200,Jln Benaan Kapal OD (Decathlon),1.3030144,103.8818827,2.46
10,CWS206,Yio Chu Kang Rd (Wembly Residences),1.3563951,103.8760704,0.72
11,CWS239,Sg Namly (Princess of Wales Rd),1.322787,103.807471,2.25
12,CWS321,Stirling Rd OD (Queenstown Stadium),1.2957402,103.8032461,3.08
13,CWS322,Alexandra Canal (C'wealth Ave) U/S Culvert,1.2971895,103.8043002,2.41
14,CWS326,Alexandra Canal SD A (Opp Alexis Condo),1.291379,103.808149,2.2
15,CWS431,Wan Tho Ave (Unit 11),1.332285,103.870803,0.76
16,CWS433,Lor 2 Toa Payoh (Braddell MRT),1.340506,103.84694,0.94
17,EWS102,Upp East Coast Rd (Unit 517),1.315968,103.943909,0.97
18,EWS104,Sembawang Shipyard OD (Cochrame Lodge II),1.461893,103.817611,1.89
19,EWS105,Sembawang OD1 (Blk 204),1.4307669,103.8354671,2.87
20,EWS107,Jln Tari Zapin OD (The Morning Dew),1.397827,103.8716333,2.41
21,EWS110,Sg Mata Ikan (SUTD Sports Complex),1.341598,103.966402,2.96
22,EWS112,Bedok Canal (Blk 99),1.333676,103.939603,4.14
23,EWS113,Tampines OD1 (SP Bedok),1.336765,103.941727,2.77
24,EWS120,Jln Pelikat OD (Blk 121),1.3542771,103.8869233,2.82
25,EWS126,Sg Api Api (Tampines Ave 10),1.36882,103.930241,4.63
26,EWS127,Tampines Ave 9 OD (Blk 621A),1.360452,103.938975,3.38
27,EWS132,Sembawang OD No.7 (Blk 328),1.429439,103.843258,2.69
28,EWS151,Kaki Bukit OD (Kaki Bukit Rd 5),1.341947,103.915457,4.52
29,EWS153,Bedok Canal SD1 (Bedok North MRT),1.334975,103.916341,2.87
30,EWS154,Jln Kembangan OD (Jln Senang) U/S Culvert,1.325159,103.916404,1.95
31,EWS155,Siglap Canal (Lor M Telok Kurau),1.311866,103.916473,3.15
32,EWS157,Kaki Bukit OD (Tampines Ave 10),1.347771,103.9244,4.41
33,EWS160,Bedok Canal SD5 (Carpark B),1.347861,103.925619,2.96
34,EWS162,Bedok Canal 2nd SD (Bedok MRT),1.324377,103.930659,3.12
35,EWS163,Bedok Canal 1st SD (Longvale),1.336945,103.936405,3.43
36,EWS164,Bayshore Park OD (Jln Pokok Serunai),1.3127466,103.9363389,1.5
37,EWS166,Tampines OD1 (Blk 103),1.347998,103.946123,2.49
38,EWS168,Bedok Canal 3rd SD (Jln Limau Bali),1.3225452,103.9483073,2.01
39,EWS170,Bedok Rd (Country Pk Condo),1.3213345,103.9550785,13.52
40,EWS172,Sg Ketapang (Unit 41),1.338962,103.956279,2.81
