sensor-id,sensor-name,latitude,longitude,URL
EWS101,Upp East Coast Rd (Riviera Residences),1.31557,103.943057,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS101
CWS023,Jln Mashhor OD (Behind RDA),1.3340997,103.8349749,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS023
CWS033,Stamford Canal (Orchard Tower),1.3066516,103.8290935,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS033
CWS086,Dunearn Rd / Hillcrest Rd,1.3277872,103.8059192,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS086
CWS186,Eng Neo Ave OD (D/S culvert),1.33257,103.798134,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS186
CWS191,Kampong Ampat/ Macpherson Rd,1.332426,103.882585,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS191
CWS192,Happy Ave OD (Jln Gembira),1.3323852,103.882041,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS192
CWS193,Harvey Rd/ Macpherson Rd,1.333006,103.884494,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS193
CWS194,Geylang Rd/ Lor 1 Geylang,1.310597,103.872737,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS194
CWS198,Meyer Rd OD (Meyer Mansion),1.296131,103.890746,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS198
CWS200,Jln Benaan Kapal OD (Decathlon),1.3030144,103.8818827,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS200
CWS206,Yio Chu Kang Rd (Wembly Residences),1.3563951,103.8760704,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS206
CWS220,Puay Hee Ave/ Siak Kew Ave,1.3298489,103.8701591,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS220
CWS226,Marine Parade Central/ Marine Parade Rd,1.3030111,103.9070301,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS226
CWS234,Upper Pickering St / New Bridge Rd,1.2861336,103.8457544,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS234
CWS239,Sg Namly (Princess of Wales Rd),1.322787,103.807471,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS239
CWS309,Lorong Chuan OD (The Chuan),1.3496875,103.8607365,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS309
CWS321,Stirling Rd OD (Queenstown Stadium),1.2957402,103.8032461,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS321
CWS322,Alexandra Canal (C'wealth Ave) U/S Culvert,1.2971895,103.8043002,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS322
CWS326,Alexandra Canal SD A (Opp Alexis Condo),1.291379,103.808149,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS326
CWS332,Tanjong Katong Rd S/Amber Garden,1.3008444,103.897285,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS332
CWS405,Queens Rd OD (Crown Centre),1.323249,103.811084,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS405
CWS431,Wan Tho Ave (Unit 11),1.332285,103.870803,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS431
CWS433,Lor 2 Toa Payoh (Braddell MRT),1.340506,103.84694,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS433
EWS002,Mimosa Walk / CTE,1.381286,103.859877,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS002
EWS012,Sg Puak Besar (Cactus Rd),1.389324,103.851581,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS012
EWS102,Upp East Coast Rd (Unit 517),1.315968,103.943909,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS102
EWS104,Sembawang Shipyard OD (Cochrame Lodge II),1.461893,103.817611,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS104
EWS105,Sembawang OD1 (Blk 204),1.4307669,103.8354671,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS105
EWS107,Jln Tari Zapin OD (The Morning Dew),1.397827,103.8716333,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS107
EWS110,Sg Mata Ikan (SUTD Sports Complex),1.341598,103.966402,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS110
