Model,R2,MAE,RMSE,MAPE
XGB-1km,0.9031487091,1.0184232485,3.1488586923,0.0707846878
XGB-1km,0.9274960092,0.9979949531,2.9925915875,0.0786631350
XGB-1km,0.9010149217,1.1676855799,3.5582179702,0.0746797262
XGB-1km,0.9274167104,0.9900736685,3.2379031793,0.0641243776
XGB-1km,0.9475771415,0.8429664309,2.5590179512,0.0625021841
XGB-1km,0.9098037211,1.08351978,3.353508135,0.07137445472
XGB-1km,0.9219058672,1.051315241,3.256062931,0.06504578504
XGB-1km,0.9046913624,1.049457761,3.10043536,0.07997804353
XGB-1km,0.9182397599,0.9672836812,3.269300657,0.06391450789
XGB-1km,0.9379525743,0.9655898335,2.849145638,0.08037230612
XGB-1km,0.9208718564,1.049315809,3.04295518,0.07416423245
XGB-1km,0.9147185392,1.024336054,3.254567781,0.07022696404
XGB-1km,0.9446950206,0.950640084,2.655685878,0.06281186103
XGB-1km,0.9400651612,1.066162544,2.785665487,0.07982772162
XGB-1km,0.9125538099,1.04112244,3.308752389,0.06628829183
XGB-1km,0.9153448826,1.064247874,3.24951039,0.06896427444
XGB-1km,0.9173267664,0.940555443,3.033937388,0.06709947951
XGB-1km,0.9285792817,1.037489044,3.073120385,0.07829311075
XGB-1km,0.904625489,1.120800208,3.402142462,0.07707853492
XGB-1km,0.934683396,1.036828273,2.950178018,0.07471507552
XGB-3.5km,0.9145647652,1.849700744,3.753862539,0.1647337599
XGB-3.5km,0.924864422,1.794583958,3.621839817,0.1541010997
XGB-3.5km,0.9197714492,1.886551426,3.730913909,0.1661449409
XGB-3.5km,0.9228478874,1.834393824,3.634616243,0.1565341468
XGB-3.5km,0.9163195978,1.898252636,3.788355055,0.1643792413
XGB-3.5km,0.9190798204,1.878459094,3.693130609,0.1691860402
XGB-3.5km,0.9195090516,1.916261879,3.72177372,0.171722811
XGB-3.5km,0.9237441076,1.857285951,3.686874196,0.1593829194
XGB-3.5km,0.9226581624,1.80252947,3.624330297,0.1601768756
XGB-3.5km,0.9102129163,1.912715763,3.872534531,0.1667171172
XGB-3.5km,0.9140389258,1.878882685,3.799350489,0.1653305965
XGB-3.5km,0.923447632,1.864898562,3.616631808,0.168222311
XGB-3.5km,0.9137142422,1.931758285,3.841472541,0.1660123614
XGB-3.5km,0.922112852,1.850202055,3.695032688,0.1599776862
XGB-3.5km,0.9207984705,1.825055143,3.676812968,0.1610525558
XGB-3.5km,0.9250026006,1.806378059,3.51062057,0.1642156108
XGB-3.5km,0.9212374343,1.841584412,3.687965385,0.1559288843
XGB-3.5km,0.9171643571,1.881071161,3.706874171,0.1637704052
XGB-3.5km,0.9256773866,1.806571861,3.613565702,0.1632046336
XGB-3.5km,0.9111810508,1.914369407,3.966233195,0.1625440267
XGB-6km,0.8811905373,2.279891232,4.264027248,1.276524149
