timestamp,sensor-id,% full,% full (in 0.5h),% full (in 1.0h),% full (in 2.0h)
2023-11-26 00:00:00,CWS186,9.96,11.23,8.88,9.15
2023-11-26 00:00:00,WWS143,22.54,21.17,24.2,19.59
2023-11-26 00:00:00,WWS146,14.65,12.47,9.69,12.85
2023-11-26 00:00:00,WWS152,12.31,12.79,12.6,14.09
2023-11-26 00:00:00,CWS198,40.48,34.48,32.4,7.66
2023-11-26 00:00:00,CWS200,45.53,42.41,50.05,50.81
2023-11-26 00:00:00,CWS206,19.44,18.88,19.36,18.28
2023-11-26 00:00:00,CWS239,13.33,13.51,15.16,11.49
2023-11-26 00:00:00,CWS321,11.69,11.9,11.37,13.24
2023-11-26 00:00:00,CWS322,15.77,14.87,16.09,13.49
2023-11-26 00:00:00,CWS326,9.09,8.93,8.18,7.91
2023-11-26 00:00:00,CWS431,21.05,20.25,20.55,24.05
2023-11-26 00:00:00,CWS433,9.57,9.39,10.49,9.17
2023-11-26 00:00:00,EWS205,7.88,7.61,7.72,6.76
2023-11-26 00:00:00,CWS191,11.76,13.35,11.92,13.26
2023-11-26 00:00:00,EWS101,16.81,17.87,14.78,14.72
2023-11-26 00:00:00,WWS159,36.53,29.83,28.05,11.6
2023-11-26 00:00:00,WWS138,10.06,8.98,9.54,11.19
2023-11-26 00:00:00,EWS170,1.48,1.45,1.64,1.42
2023-11-26 00:00:00,WWS139,13.19,11.98,15.04,12.88
2023-11-26 00:00:00,EWS166,11.65,10.0,10.1,13.03
2023-11-26 00:00:00,WWS318,26.46,19.72,14.46,11.24
2023-11-26 00:00:00,EWS120,9.22,8.66,10.58,10.16
2023-11-26 00:00:00,CWS193,20.0,19.78,20.48,17.19
2023-11-26 00:00:00,CWS194,16.67,16.91,17.57,14.21
2023-11-26 00:00:00,WWS426,10.54,9.65,9.94,11.06
2023-11-26 00:00:00,EWS153,15.68,16.51,16.43,16.94
2023-11-26 00:00:00,EWS154,8.21,8.58,7.76,8.52
2023-11-26 00:00:00,EWS157,8.16,8.43,7.8,7.89
2023-11-26 00:00:00,EWS160,15.2,16.05,13.27,14.23
2023-11-26 00:00:00,EWS151,5.53,5.31,5.41,6.26
2023-11-26 00:00:00,EWS162,7.69,7.54,6.72,8.42
2023-11-26 00:00:00,EWS163,8.16,8.49,8.77,7.69
